gridiv,name,type,dangerous_heat_hours_present,hazard_present,exposure,vulnerability,risk_index_present,risk_rank_present,dangerous_heat_hours_future,hazard_future,risk_index_future,risk_rank_future,dangerous_heat_hours_delta,risk_index_delta,hazard_rank_present,hazard_rank_future
4,Kampong Lama,hotspot,42,0.6666666666666666,1.0,0.9497206703910616,1.0,1,249,0.9398907103825136,1.0,1,207,0.0,3,2
9,Fuzhou Lanes,hotspot,22,0.3333333333333333,1.0,0.9720670391061452,0.7998774322027701,3,212,0.7377049180327869,0.9296123459268976,2,190,0.1297349137241275,6,5
5,Dhobi Lines,hotspot,26,0.4,1.0,0.9162011173184356,0.833390845703904,2,217,0.7650273224043715,0.9225675435475156,3,191,0.0891766978436116,4,4
7,Mlima Moto,hotspot,5,0.05,1.0,1.0,0.4290307866461345,4,149,0.3934426229508196,0.7610316517527952,4,144,0.3320008651066607,7,7
6,Lusitano Square,core,5,0.05,0.7727272727272727,0.0893854748603352,0.1760297971087816,5,129,0.2841530054644808,0.2801500684096431,5,124,0.10412027130086152,7,8
8,Victoria Exchange,core,5,0.05,0.7727272727272727,0.0558659217877095,0.1505033594771979,6,120,0.2349726775956284,0.2248221565113046,6,115,0.07431879703410671,7,9
1,Jade Gardens,refuge,62,1.0,0.0,0.324022346368715,0.0,7,260,1.0,0.0,7,198,0.0,1,1
2,Serendib Rise,refuge,26,0.4,0.0,0.2737430167597766,0.0,7,205,0.6994535519125683,0.0,7,179,0.0,4,6
3,Taman Melati,refuge,47,0.75,0.0,0.3631284916201117,0.0,7,243,0.907103825136612,0.0,7,196,0.0,2,3
10,Zheng He Towers,core,2,0.0,0.7727272727272727,0.0,0.0,7,77,0.0,0.0,7,75,0.0,10,10
